ticker,group,marketCap,trailingPE,forwardPE,priceToSalesTrailing12Months,profitMargins,grossMargins,operatingMargins,revenueGrowth,earningsGrowth,totalDebt,totalCash,freeCashflow,operatingCashflow,sharesOutstanding,floatShares,shortPercentOfFloat,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,shortName
NVDA,semi,5450701996032.0,28.573418,14.54534,17.990896,0.63663,0.74674004,0.66236997,1.059,1.278,38860001280.0,62469001216.0,41809874944.0,134359998464.0,24147000000.0,23129734000.0,0.0123000005,2.217,236.54,164.27,NVIDIA Corporation
AMD,semi,825607913472.0,129.0153,32.600895,19.988085,0.15577,0.55724,0.1725,0.501,1.595,4276000000.0,13111000064.0,8841499648.0,10080000000.0,1632475042.0,1623447455.0,0.024600001,2.476,584.73,149.85,"Advanced Micro Devices, Inc."
AVGO,semi,1753453821952.0,47.010204,19.009796,19.678734,0.42944,0.75515,0.54307,0.855,2.153,59419000832.0,23975000064.0,30497124352.0,40653000704.0,4757580198.0,4707235220.0,0.012,1.457,495.0,289.96,Broadcom Inc.
ARM,semi,279313678336.0,266.86734,85.35797,54.172554,0.20247999,0.97537005,0.07603,0.224,1.083,485000000.0,3888000000.0,1334499968.0,2094000000.0,1067998569.0,142620720.0,0.1257,3.89,452.7,100.02,Arm Holdings plc
MRVL,semi,202577018880.0,74.63908,33.538914,21.43604,0.27934998,0.52216,0.16679001,0.365,0.5,5286099968.0,3932800000.0,2408049920.0,2200300032.0,876926613.0,873997461.0,0.0379,2.253,329.88,65.19,"Marvell Technology, Inc."
MU,semi,1129686761472.0,22.62008,6.45224,12.513977,0.55906,0.72569,0.80370003,3.457,13.685,6376000000.0,26022000640.0,7639499776.0,51432001536.0,1129393151.0,1125620978.0,0.026600001,2.222,1255.0,131.56,"Micron Technology, Inc."
TSM,semi,2276862197760.0,32.590942,20.022713,0.51274997,0.49923,0.6423,0.60344005,0.36,0.774,1068558516224.0,3518010228736.0,730826014720.0,2634679058432.0,5186474013.0,37843003812.0,0.0062,1.247,479.0,246.93,Taiwan Semiconductor Manufactur
ASML,semi,677878890496.0,59.825424,29.381254,19.18842,0.30114,0.52733004,0.37057,0.213,0.285,1984400000.0,7581499904.0,8437675008.0,11486900224.0,384100000.0,21331633667.0,0.0034999999,1.363,1999.96,791.02,ASML Holding N.V. - New York Re
AMAT,semi,375204937728.0,40.75776,25.595163,12.167362,0.30052,0.49398,0.33736,0.248,0.428,7345999872.0,9233000448.0,3075375104.0,8396000256.0,793597443.0,790573837.0,0.015,1.597,739.67,161.75,"Applied Materials, Inc."
LRCX,semi,400948264960.0,55.72522,27.687792,17.257935,0.31272,0.50469,0.37390998,0.3,0.348,4121564928.0,5579170816.0,3090484480.0,5857656832.0,1251321000.0,1246490901.0,0.0254,1.859,438.5,104.46,Lam Research Corporation
